id	symbol	desc	biotype	num_transcripts	num_coding_transcripts	num_introns	H+.M+.25.0_vs_H+.M+.37.10.worst_fdr	H+.M+.25.0_vs_H+.M+.37.10.log2fc	H+.M+.25.0_vs_H+.M+.37.40.worst_fdr	H+.M+.25.0_vs_H+.M+.37.40.log2fc	H+.M+.25.0_vs_H+.M+.42.10.worst_fdr	H+.M+.25.0_vs_H+.M+.42.10.log2fc	H+.M+.25.0_vs_H+.M+.42.40.worst_fdr	H+.M+.25.0_vs_H+.M+.42.40.log2fc	H+.M-.25.0_vs_H+.M-.37.10.worst_fdr	H+.M-.25.0_vs_H+.M-.37.10.log2fc	H+.M-.25.0_vs_H+.M-.37.40.worst_fdr	H+.M-.25.0_vs_H+.M-.37.40.log2fc	H+.M-.25.0_vs_H+.M-.42.10.worst_fdr	H+.M-.25.0_vs_H+.M-.42.10.log2fc	H+.M-.25.0_vs_H+.M-.42.40.worst_fdr	H+.M-.25.0_vs_H+.M-.42.40.log2fc	H-.M+.25.0_vs_H-.M+.37.10.worst_fdr	H-.M+.25.0_vs_H-.M+.37.10.log2fc	H-.M+.25.0_vs_H-.M+.37.40.worst_fdr	H-.M+.25.0_vs_H-.M+.37.40.log2fc	H-.M+.25.0_vs_H-.M+.42.10.worst_fdr	H-.M+.25.0_vs_H-.M+.42.10.log2fc	H-.M+.25.0_vs_H-.M+.42.40.worst_fdr	H-.M+.25.0_vs_H-.M+.42.40.log2fc	H-.M-.25.0_vs_H-.M-.37.10.worst_fdr	H-.M-.25.0_vs_H-.M-.37.10.log2fc	H-.M-.25.0_vs_H-.M-.37.40.worst_fdr	H-.M-.25.0_vs_H-.M-.37.40.log2fc	H-.M-.25.0_vs_H-.M-.42.10.worst_fdr	H-.M-.25.0_vs_H-.M-.42.10.log2fc	H-.M-.25.0_vs_H-.M-.42.40.worst_fdr	H-.M-.25.0_vs_H-.M-.42.40.log2fc
YPL188W	POS5	Mitochondrial NADH kinase, phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress	protein_coding	1	1	0	0.151	0.333	0.607	0.085	0.898	0.027	1.000	0.027	0.559	-0.098	1.000	0.000e+00	0.049	-0.507	3.416e-04	-0.816	0.173	0.350	1.000	0.070	0.398	0.197	0.493	0.199	0.768	0.256	0.181	-0.362	1.000	-0.058	0.136	-0.382
YJR158W	HXT16	Protein of unknown function with similarity to hexose transporter family members, expression is repressed by high levels of glucose	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YML060W	OGG1	Mitochondrial glycosylase/lyase that specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA, contributes to UVA resistance	protein_coding	1	1	0	0.002	-1.554	4.188e-04	-1.162	3.913e-04	-1.113	2.530e-04	-1.008	0.007	-0.922	0.002	-1.001	0.074	-0.616	0.097	-0.410	0.004	-1.900	7.902e-04	-2.098	0.017	-0.919	0.013	-0.841	0.396	-0.568	0.173	-0.497	0.622	-0.240	0.677	-0.206
YOR101W	RAS1	GTPase involved in G-protein signaling in the adenylate cyclase activating pathway, plays a role in cell proliferation; localized to the plasma membrane; homolog of mammalian RAS proto-oncogenes	protein_coding	1	1	0	3.026e-04	-2.469	2.945e-04	-1.559	2.316e-04	-2.181	5.339e-05	-3.945	2.709e-04	-2.016	0.004	-1.016	0.002	-1.668	1.132e-04	-2.646	0.013	-1.234	2.325e-04	-2.964	0.002	-1.952	8.338e-04	-2.430	0.022	-1.469	0.005	-2.454	0.010	-1.529	0.003	-1.765
YJL108C	PRM10	Pheromone-regulated protein, proposed to be involved in mating; predicted to have 5 transmembrane segments; induced by treatment with 8-methoxypsoralen and UVA irradiation	protein_coding	1	1	0	0.491	0.191	0.864	-0.060	2.970e-04	0.789	0.005	0.404	0.002	0.588	0.450	0.221	0.007	0.592	0.004	0.402	0.066	0.484	0.001	-0.989	0.006	0.626	0.008	0.532	0.035	0.643	0.190	-0.376	0.001	0.988	0.002	0.686
YCR102W-A	YCR102W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.018	1.913
YGL138C	YGL138C	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	5.339e-05	4.933	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	8.612e-05	6.173	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.115e-04	4.555	1.000	0.000e+00	1.000	0.000e+00	5.854e-04	3.372	1.727e-04	5.380
YDR538W	PAD1	Phenylacrylic acid decarboxylase, confers resistance to cinnamic acid, decarboxylates aromatic carboxylic acids to the corresponding vinyl derivatives; also has mRNA binding activity; homolog of E. coli UbiX	protein_coding	1	1	0	1.000	-0.022	0.318	-0.199	0.298	-0.250	0.164	-0.331	0.560	-0.144	0.449	-0.166	0.257	-0.314	1.000	0.000e+00	0.701	-0.195	0.481	-0.179	0.492	-0.261	0.814	-0.122	1.000	-0.016	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YGL005C	COG7	Component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	protein_coding	1	1	0	1.000	0.000e+00	0.932	0.041	0.970	0.016	1.000	-0.081	0.826	0.301	0.931	0.182	0.100	1.053	0.390	0.364	0.384	0.595	0.810	0.276	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.207	1.000	-0.317	1.000	-0.074
YGR185C	TYS1	Cytoplasmic tyrosyl-tRNA synthetase, required for cytoplasmic protein synthesis; interacts with positions 34 and 35 of the tRNATyr anticodon; mutations in human ortholog YARS are associated with Charcot-Marie-Tooth (CMT) neuropathies	protein_coding	1	1	0	0.434	-0.149	1.000	0.000e+00	0.690	-0.113	5.339e-05	-0.855	0.128	-0.254	0.314	-0.158	0.478	-0.220	1.854e-04	-0.698	0.174	-0.458	0.007	-0.647	0.614	-0.225	1.115e-04	-1.143	0.804	-0.187	0.062	-0.505	0.201	-0.342	0.002	-0.807
YDR405W	MRP20	Mitochondrial ribosomal protein of the large subunit	protein_coding	1	1	0	0.091	0.419	0.116	0.268	0.847	0.079	1.000	0.000e+00	1.000	8.494e-04	1.000	0.000e+00	1.000	0.000e+00	0.011	-0.689	1.000	0.000e+00	0.728	0.148	0.963	0.108	1.000	0.000e+00	0.654	0.263	0.312	0.347	1.000	0.000e+00	0.395	-0.283
YGL137W	SEC27	Essential beta'-coat protein of the COPI coatomer, involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP	protein_coding	1	1	1	0.382	-0.357	0.345	-0.181	0.067	-0.444	0.397	-0.200	0.467	-0.126	0.951	-0.055	0.083	-0.433	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.085	-0.480	1.000	-0.076	1.000	0.000e+00	0.054	0.572	0.520	-0.196	1.000	0.000e+00
YPL055C	LGE1	Protein of unknown function; null mutant forms abnormally large cells, and homozygous diploid null mutant displays delayed premeiotic DNA synthesis and reduced efficiency of meiotic nuclear division	protein_coding	1	1	0	0.007	0.716	0.001	0.616	0.005	0.567	5.339e-05	1.261	0.032	0.459	0.220	0.186	0.013	0.607	8.612e-05	0.922	1.000	0.000e+00	0.415	0.273	0.230	0.377	0.132	0.434	0.708	0.235	0.009	0.793	0.182	0.346	0.032	0.549
YNL110C	NOP15	Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm	protein_coding	1	1	0	2.245e-04	-4.078	2.945e-04	-2.486	2.316e-04	-2.723	5.339e-05	-5.349	2.709e-04	-3.053	0.004	-1.338	0.013	-1.650	8.612e-05	-3.993	0.008	-2.272	2.171e-04	-4.049	0.011	-2.110	1.115e-04	-5.202	0.044	-1.717	0.003	-2.431	0.011	-1.835	1.889e-04	-3.508
YGR052W	FMP48	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation	protein_coding	1	1	0	2.245e-04	3.634	0.010	1.715	1.489e-04	4.686	5.632e-05	3.184	2.709e-04	3.090	0.200	0.885	0.001	2.694	0.012	1.065	6.510e-04	3.485	1.988e-04	2.627	2.649e-04	4.630	1.115e-04	3.713	0.008	2.433	0.147	-1.112	0.005	2.138	0.177	0.900
YOR367W	SCP1	Component of yeast cortical actin cytoskeleton, binds and cross links actin filaments; originally identified by its homology to calponin (contains a calponin-like repeat) but the Scp1p domain structure is more similar to transgelin	protein_coding	1	1	0	0.980	0.147	0.912	0.046	1.000	0.000e+00	0.199	-0.392	0.535	0.299	0.077	0.611	1.000	0.000e+00	0.746	-0.296	0.295	0.718	0.332	0.562	1.000	0.024	1.000	0.000e+00	1.000	0.087	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YPL189W	GUP2	Probable membrane protein with a possible role in proton symport of glycerol; member of the MBOAT family of putative membrane-bound O-acyltransferases; Gup1p homolog	protein_coding	1	1	0	0.217	-0.873	0.026	-0.889	0.096	-0.638	0.002	-1.203	0.343	-0.463	0.103	-0.627	0.246	-0.661	0.021	-1.317	0.493	-0.455	0.001	-2.560	1.000	-0.221	0.098	-0.929	1.000	-0.267	0.014	-1.847	1.000	0.000e+00	0.239	-0.726
YJR157W	YJR157W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.001	2.598	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.002	2.692
YIL034C	CAP2	Beta subunit of the capping protein (CP) heterodimer (Cap1p and Cap2p) which binds to the barbed ends of actin filaments preventing further polymerization; localized predominantly to cortical actin patches	protein_coding	1	1	0	0.003	0.701	0.006	0.450	0.030	0.385	0.005	0.389	0.749	0.083	0.018	0.322	0.849	-0.102	0.115	-0.263	1.000	0.049	0.574	0.314	0.882	0.070	1.000	-0.004	1.000	0.000e+00	0.789	0.111	0.371	-0.272	0.002	-0.800
YJL109C	UTP10	Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA; mutant has increased aneuploidy tolerance	protein_coding	1	1	0	2.245e-04	-3.064	3.129e-04	-0.893	1.489e-04	-1.635	5.339e-05	-3.426	2.709e-04	-2.512	0.001	-0.932	3.590e-04	-1.560	8.612e-05	-2.452	6.510e-04	-1.908	1.988e-04	-2.783	2.649e-04	-1.380	1.115e-04	-2.965	0.005	-1.126	3.352e-04	-1.474	0.001	-1.085	1.727e-04	-2.244
YPL056C	LCL1	Putative protein of unknown function; deletion mutant is fluconazole resistant and has long chronological lifespan	protein_coding	1	1	0	0.002	1.316	0.018	1.252	0.007	1.209	0.002	1.850	1.000	0.018	0.657	0.280	0.861	0.179	0.017	0.908	1.000	0.000e+00	0.496	0.295	0.237	0.676	0.187	0.659	1.000	0.101	0.584	0.436	0.771	0.209	0.678	0.293
YOR366W	YOR366W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YOR365C	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.005	2.484
YOR233W	KIN4	Serine/threonine protein kinase that inhibits the mitotic exit network (MEN) when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex, spindle pole body and bud neck	protein_coding	1	1	0	0.035	-0.803	0.049	-0.412	9.764e-04	-1.052	0.752	-0.139	8.856e-04	-0.840	0.070	-0.278	0.235	-0.469	0.871	-0.146	0.002	-1.277	0.022	-0.698	0.078	-0.508	0.124	-0.435	0.075	-0.620	0.110	-0.396	0.811	-0.125	1.000	0.000e+00
YGL004C	RPN14	Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p	protein_coding	1	1	0	0.050	0.530	0.132	0.291	0.015	0.507	5.339e-05	0.973	0.008	0.666	0.164	0.248	0.014	0.632	8.612e-05	1.011	0.153	0.438	0.227	0.320	0.523	0.145	0.147	0.294	0.831	0.217	0.024	0.660	1.000	0.000e+00	0.414	0.187
YGR053C	YGR053C	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	2.956e-04	2.876	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.022	1.581
YNL243W	SLA2	Transmembrane actin-binding protein involved in membrane cytoskeleton assembly and cell polarization; adaptor protein that links actin to clathrin and endocytosis; present in the actin cortical patch of the emerging bud tip; dimer in vivo	protein_coding	1	1	0	0.018	0.498	0.073	0.310	0.473	0.116	1.000	0.000e+00	0.660	0.127	0.637	0.074	0.168	-0.406	0.004	-0.579	0.530	0.244	1.000	0.089	0.915	0.024	1.000	-0.061	0.848	0.181	1.000	0.000e+00	1.000	-0.010	0.027	-0.590
YOR234C	RPL33B	Ribosomal protein L37 of the large (60S) ribosomal subunit, nearly identical to Rpl33Ap and has similarity to rat L35a; rpl33b null mutant exhibits normal growth while rpl33a rpl33b double null mutant is inviable	protein_coding	1	1	1	0.013	-0.980	0.129	-0.327	0.480	-0.178	1.017e-04	-0.944	0.010	-0.659	0.271	-0.197	0.799	0.000e+00	0.214	-0.243	0.022	-1.096	7.902e-04	-2.238	0.291	-0.366	0.670	-0.150	0.421	-0.471	0.003	-1.735	1.000	0.000e+00	1.000	-0.017
YOL090W	MSH2	Protein that forms heterodimers with Msh3p and Msh6p that bind to DNA mismatches to initiate the mismatch repair process; contains a Walker ATP-binding motif required for repair activity; Msh2p-Msh6p binds to and hydrolyzes ATP	protein_coding	1	1	0	0.409	-0.360	1.000	0.000e+00	0.924	-0.097	1.000	0.000e+00	0.090	0.301	0.761	0.109	0.142	0.316	1.374e-04	0.714	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.072	0.310	0.352	1.000	0.043	0.303	0.306
YJR025C	BNA1	3-hydroxyanthranilic acid dioxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p	protein_coding	1	1	0	1.000	0.030	0.796	-0.084	0.045	0.414	0.255	0.175	1.000	0.000e+00	0.696	-0.138	0.118	0.340	3.383e-04	0.787	1.000	0.049	0.533	-0.160	0.248	0.281	1.000	0.034	1.000	0.000e+00	0.989	-0.116	0.518	0.133	0.125	0.430
YDR055W	PST1	Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1	protein_coding	1	1	0	5.876e-04	0.843	3.574e-04	0.825	0.002	0.631	0.245	0.295	0.035	0.351	0.004	0.458	0.594	0.089	1.000	0.000e+00	0.342	0.291	0.019	0.676	0.196	0.301	1.000	0.000e+00	0.602	0.262	0.846	0.117	0.860	0.030	1.000	-0.003
YPL239W	YAR1	Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic and oxidative stress; expression repressed by heat shock	protein_coding	1	1	0	0.005	0.666	0.299	-0.173	1.489e-04	1.115	5.339e-05	0.929	2.709e-04	0.881	1.000	0.000e+00	8.617e-04	0.916	8.612e-05	1.172	0.004	-1.191	6.092e-04	-1.390	0.018	-0.726	0.010	-0.824	0.173	-0.542	0.193	-0.372	0.200	-0.402	0.248	-0.310
YKL155C	RSM22	Mitochondrial ribosomal protein of the small subunit; also predicted to be an S-adenosylmethionine-dependent methyltransferase	protein_coding	1	1	0	0.160	-0.684	0.349	-0.197	2.970e-04	-1.608	1.231e-04	-1.325	0.419	-0.221	0.072	-0.337	0.046	-0.730	0.004	-1.088	1.000	0.000e+00	0.648	-0.233	0.025	-1.204	0.262	-0.708	1.000	0.000e+00	0.649	-0.161	0.082	-0.561	0.115	-0.453
YOL133W	HRT1	RING finger containing subunit of Skp1-Cullin-F-box ubiquitin protein ligases (SCF); required for Gic2p, Far1p, Sic1p and Cln2p degradation; may tether Cdc34p (a ubiquitin conjugating enzyme or E2) and Cdc53p (a cullin) subunits of SCF	protein_coding	1	1	0	0.983	-0.061	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.215	0.440	0.856	0.155	0.176	0.465	0.464	0.179	0.825	0.175	0.549	-0.309	1.000	0.000e+00	0.723	0.127	1.000	0.161	1.000	0.000e+00	0.884	0.172	0.781	0.248
YDR188W	CCT6	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif	protein_coding	1	1	0	0.058	-0.564	0.558	-0.168	2.970e-04	-0.924	0.001	-0.580	0.995	-0.055	0.049	-0.327	0.073	-0.568	0.163	-0.228	0.150	-0.438	0.067	-0.419	0.001	-0.909	6.751e-04	-0.940	0.936	-0.218	1.000	-0.021	0.157	-0.474	0.007	-0.742
YLR001C	YLR001C	hypothetical protein	protein_coding	1	1	0	5.682e-04	1.201	2.291e-04	1.000	1.489e-04	1.065	5.339e-05	1.400	0.002	0.660	9.689e-04	0.815	0.016	0.539	0.003	0.450	0.007	0.766	2.852e-04	1.110	0.001	1.083	1.446e-04	1.241	0.131	0.517	0.002	0.945	0.054	0.547	0.021	0.572
YKL022C	CDC16	Subunit of the anaphase-promoting complex/cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation	protein_coding	1	1	0	0.856	-0.219	0.536	-0.126	0.411	0.165	0.001	0.565	0.754	0.173	0.624	0.087	0.005	0.719	8.612e-05	1.179	1.000	0.000e+00	0.263	0.317	0.333	0.232	0.009	0.702	0.470	0.361	5.492e-04	1.200	0.004	0.834	3.228e-04	1.312
YKR076W	ECM4	Omega class glutathione transferase; not essential; similar to Ygr154cp; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm	protein_coding	1	1	0	0.001	1.470	2.945e-04	1.629	0.026	0.664	5.339e-05	1.698	0.236	0.442	5.344e-04	1.213	0.335	-0.471	0.484	-0.327	0.004	1.420	1.988e-04	2.123	0.020	0.939	5.368e-04	1.723	0.812	0.375	0.187	0.653	1.000	-0.111	0.332	0.344
YDL134C	PPH21	Catalytic subunit of protein phosphatase 2A (PP2A), functionally redundant with Pph22p; methylated at C terminus; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis	protein_coding	1	1	0	1.000	0.044	0.989	0.034	0.487	0.139	1.000	0.000e+00	0.263	-0.202	0.597	0.061	0.064	-0.453	0.011	-0.421	0.693	0.164	0.805	0.114	0.631	0.087	0.306	0.260	1.000	0.000e+00	0.955	-0.015	1.000	-0.043	1.000	0.000e+00
YNL075W	IMP4	Component of the SSU processome, which is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs	protein_coding	1	1	0	2.245e-04	-3.593	2.291e-04	-1.844	1.489e-04	-1.747	5.339e-05	-3.436	2.709e-04	-3.525	5.405e-04	-1.362	0.006	-1.155	8.612e-05	-3.187	0.001	-2.003	1.988e-04	-3.211	0.002	-1.087	3.452e-04	-3.089	0.020	-1.379	9.988e-04	-2.004	0.008	-1.151	3.228e-04	-2.336
YAL007C	ERP2	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles	protein_coding	1	1	0	0.241	-0.452	1.000	-0.012	0.115	-0.343	0.229	-0.256	1.000	0.000e+00	0.199	0.213	1.000	0.000e+00	0.029	0.358	1.000	-0.053	1.000	0.056	1.000	-0.029	0.324	-0.381	1.000	0.058	0.061	0.490	0.940	0.010	1.000	0.000e+00
YGL140C	YGL140C	hypothetical protein	protein_coding	1	1	0	0.608	-0.354	0.357	-0.196	0.654	-0.173	1.000	0.000e+00	0.929	-0.047	0.858	-0.059	0.933	0.010	1.000	0.000e+00	0.898	0.163	1.000	-0.027	1.000	0.000e+00	0.828	0.159	0.846	-0.158	1.000	0.000e+00	0.446	0.263	0.182	0.346
YKL154W	SRP102	Signal recognition particle (SRP) receptor beta subunit; involved in SRP-dependent protein targeting; anchors the alpha subunit, Srp101p to the ER membrane	protein_coding	1	1	0	0.014	-1.349	0.108	-0.475	0.010	-1.192	0.002	-1.517	0.435	-0.308	0.500	-0.269	0.959	0.134	0.038	-0.802	0.731	-0.723	0.322	-0.879	1.000	-0.435	0.150	-1.231	0.864	-0.315	1.000	0.000e+00	1.000	0.000e+00	0.736	-0.227
YLR133W	CKI1	Choline kinase, catalyzing the first step in phosphatidylcholine synthesis via the CDP-choline (Kennedy pathway); exhibits some ethanolamine kinase activity contributing to phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway	protein_coding	1	1	0	3.729e-04	0.992	9.773e-04	0.561	0.001	0.627	2.530e-04	0.590	4.303e-04	0.942	0.004	0.548	0.062	0.347	0.023	0.344	0.009	0.683	0.003	0.749	0.148	0.321	0.765	0.138	0.046	0.618	0.002	0.836	0.191	0.345	0.974	0.087
YHL028W	WSC4	ER membrane protein involved in the translocation of soluble secretory proteins and insertion of membrane proteins into the ER membrane; may also have a role in the stress response but has only partial functional overlap with WSC1-3	protein_coding	1	1	0	0.004	1.448	1.000	0.036	0.338	0.420	5.339e-05	1.679	0.104	0.455	0.204	0.468	0.122	-0.796	0.533	-0.271	1.000	0.000e+00	0.004	0.806	0.171	0.479	0.017	0.861	1.000	-0.097	1.000	0.000e+00	0.190	-0.711	0.703	-0.163
YPR028W	YOP1	Membrane protein that interacts with Yip1p to mediate membrane traffic; interacts with Sey1p to maintain ER morphology; overexpression leads to cell death and accumulation of internal cell membranes	protein_coding	1	1	1	0.183	0.305	0.102	0.269	7.364e-04	0.618	5.913e-04	0.567	0.932	-0.060	1.000	0.000e+00	0.587	0.079	0.972	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.261	0.262	0.199	0.262	1.000	-0.005	0.325	-0.260	0.685	0.056	0.997	0.000e+00
YNL076W	MKS1	Pleiotropic negative transcriptional regulator involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling	protein_coding	1	1	0	0.093	0.419	0.117	0.261	0.214	0.226	5.339e-05	0.833	0.883	0.108	0.616	0.180	1.000	0.045	0.008	0.471	1.000	0.096	0.282	0.273	0.229	0.277	0.009	0.598	0.915	0.156	0.826	0.171	0.647	0.163	0.478	0.296
YPL106C	SSE1	ATPase that is a component of the heat shock protein Hsp90 chaperone complex; binds unfolded proteins; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm	protein_coding	1	1	0	0.002	0.619	1.000	0.000e+00	5.144e-04	0.734	0.004	0.490	0.015	0.437	1.000	0.000e+00	0.030	0.423	5.727e-04	0.508	0.036	-0.640	7.027e-04	-1.088	0.096	-0.526	1.115e-04	-1.818	0.266	-0.435	0.050	-0.550	0.161	-0.426	3.187e-04	-1.142
YER114C	BOI2	Protein implicated in polar growth, functionally redundant with Boi1p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain	protein_coding	1	1	0	0.983	0.136	0.453	0.133	1.000	0.000e+00	1.000	0.000e+00	0.358	-0.177	0.491	-0.129	1.000	-0.042	0.034	-0.493	0.844	-0.158	0.334	-0.362	1.000	0.007	1.000	-0.059	0.841	-0.198	0.037	-0.729	1.000	0.000e+00	0.120	-0.414
YDR056C	YDR056C	hypothetical protein	protein_coding	1	1	0	0.058	-0.512	0.032	-0.428	0.157	-0.330	0.004	-0.674	1.000	-0.041	1.000	0.000e+00	1.000	-0.029	0.139	-0.283	1.000	-0.154	0.490	-0.184	1.000	-0.111	0.180	-0.430	1.000	-0.149	1.000	0.000e+00	1.000	-0.020	0.220	-0.394
YGR062C	COX18	Mitochondrial integral inner membrane protein required for membrane insertion of C-terminus of Cox2p; interacts genetically and physically with Mss2p and Pnt1p; similar to S. cerevisiae Oxa1, N. crassa Oxa2p, and E. coli YidC	protein_coding	1	1	0	0.646	0.249	0.022	0.433	0.193	0.279	5.339e-05	0.858	1.000	0.053	1.000	0.000e+00	1.000	0.000e+00	7.090e-04	0.628	0.239	0.314	0.051	0.484	1.000	0.000e+00	0.008	0.647	0.738	0.240	0.039	0.614	0.523	0.187	0.040	0.520
YOR187W	TUF1	Mitochondrial translation elongation factor Tu; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in separate proteins in S. pombe and humans	protein_coding	1	1	0	1.000	0.064	1.000	0.000e+00	0.808	0.059	0.392	-0.140	1.000	-0.006	0.145	-0.231	0.405	-0.225	9.942e-04	-0.567	1.000	0.000e+00	1.000	-0.020	1.000	-0.020	1.000	0.000e+00	1.000	0.000e+00	0.093	-0.444	1.000	-0.050	0.206	-0.316
YDL133W	SRF1	Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor, a lipid that accumulates intraneuronally in Alzheimer's patients	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	0.791	0.048	0.070	0.292	0.828	-0.093	1.000	-0.015	0.219	0.290	0.016	0.480	0.896	0.117	0.876	0.136	0.374	0.219	0.001	0.915	1.000	0.000e+00	1.000	0.000e+00	0.169	0.355	7.839e-04	1.072
YJL181W	YJL181W	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	0.004	0.610	0.024	-0.618	0.004	-0.817	0.058	-0.490	1.000	0.000e+00	0.019	-1.118	1.714e-04	-1.711	1.000	0.046	0.842	0.147	0.972	-0.140	0.730	-0.156	1.000	0.000e+00	0.056	-0.693	0.072	-0.755	0.019	-0.862
YPL107W	YPL107W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YPL107W is not an essential gene	protein_coding	1	1	0	0.047	-1.238	0.059	-0.684	0.011	-1.105	0.143	-0.436	0.419	-0.402	0.514	-0.257	0.639	-0.286	0.393	-0.432	0.648	0.343	1.000	0.000e+00	1.000	0.000e+00	0.869	0.215	1.000	-0.083	0.610	-0.334	1.000	0.000e+00	0.752	-0.246
